Gericht,Aktenzeichen,Datum,Art,Rechtsgrundlage,Text,Schlagwort,Urteil,pagination,pagination-href
Verwaltungsgericht Schwerin,1 A 2000/06,05.01.2007,Beschluss,Informationsfreiheitsgesetz (Mecklenburg-Vorpommern),"Eine Untätigkeitsklage ist bereits vor Ablauf der in § 75 Satz 2 Verwaltungsgerichtsordnung genannten Frist zulässig, wenn die spezialgesetzliche Frist des Informationsfreiheitsgesetzes Mecklenburg-Vorpommern für eine Behördenentscheidung bereits abgelaufen ist. Sie ist als ""besonderer Umstand"" im Sinne des § 75 Satz 2 Verwaltungsgerichtsordnung zu bewerten.",Prozessuales,http://www.lda.brandenburg.de/media_fast/5955/VG_Schwerin_1_A_2000_06.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Oberverwaltungsgericht Schleswig-Holstein,15 P 1/06,17.01.2007,"Beschluss des Fachsenats (""in-camera""-Verfahren)",§ 99 Abs. 2 Verwaltungsgerichtsordnung,"Das Oberverwaltungsgericht stellt fest, dass die Weigerung der Beklagten, die strittigen Passagen eines Ergebnisberichts zum Kiesabbau ungeschwärzt vorzulegen, rechtmäßig ist. Die Informationen betreffen Know-how, sind geldwert und als Betriebsgeheimnis einzustufen. Wie im Hauptsacheverfahren bedarf es auch im Vorlageverfahren einer Abwägung, ob ""Geheimnisschutz auch angesichts des Interesses am effektiven Rechtsschutz zu gewährleisten ist.""",Betriebs- und Geschäftsgeheimnisse,http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_15_P_1_06.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Europäischer Gerichtshof,C-266/05 P,01.02.2007,Urteil,Verordnung (EG) Nr. 1049/2001 (Transparenzverordnung),"Nach der Rechtsprechung des Europäischen Gerichtshofes steht dem Gemeinschaftsgesetzgeber in den Bereichen, in denen er politische, wirtschaftliche oder soziale Entscheidungen treffen und komplexe Prüfungen vornehmen muss, ein weites Ermessen zu. Eine in diesen Bereichen erlassene Maßnahme ist nur dann rechtswidrig, wenn sie zur Erreichung des vom Organ verfolgten Ziels offensichtlich ungeeignet ist. Diese Rechtsprechung erstreckt sich auch auf Entscheidungen des Rates, ob der Öffentlichkeit auf Grundlage der Ausnahmevorschriften der Verordnung der Zugang zu einzelnen Dokumenten verwehrt wird. Die Kontrolle der Gemeinschaftsgerichte beschränkt sich in diesen Fällen darauf, die Verfahrensregeln, die Bestimmungen über die Begründung, den Sachverhalt, seine Würdigung und zuletzt die Ausübung des pflichtgemäßen Ermessens zu prüfen. Die Transparenzverordnung hat den Sinn und Zweck, der Öffentlichkeit ein Recht auf Zugang zu den Dokumenten der EU-Organe zu eröffnen, nicht aber, die besonderen Interessen eines Einzelnen zu befriedigen. Aus der Bestimmung, dass sensible Dokumente nur mit Zustimmung des Urhebers im Register aufgeführt oder freigegeben werden, ergibt sich ebenfalls, dass der Urheber befugt ist, die Existenz des Dokuments geheim zu halten als auch der Offenlegung seiner Identität zu widersprechen.","(Gesetzliche) Geheimhaltungspflichten, Ablehnungsbegründung, Internationale Beziehungen",http://www.lda.brandenburg.de/media_fast/5955/EuGH_C_266_05_P.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Verwaltungsgericht Schleswig-Holstein,12 B 85/06,13.02.2007,Beschluss,Richtlinie 2003/4/EG (Umweltinformationsrichtlinie),"Das Verwaltungsgericht lehnt den Antrag auf Sofortvollzug eines im Hauptsacheverfahren angegriffenen Bescheids eines Landesministeriums zur Gewährung von Akteneinsicht in Vorgänge, die ein Atomkraftwerk betreffen, ab. Offen ist bereits die Rechtsgrundlage des Bescheids über die Akteneinsicht: Das Umweltinformationsgesetz des Bundes kommt nicht in Betracht, da es sich nicht um eine informationspflichtige Stelle des Bundes handelt; die unmittelbare Anwendbarkeit der Umweltinformationsrichtlinie ist unklar. Selbst wenn diese anwendbar wäre, fällt eine Interessenabwägung im Hinblick auf die vom Betreiber geltend gemachten Betriebs- und Geschäftsgeheimnisse und die fehlende Rückholbarkeit der Informationen im Falle einer ablehnenden Entscheidung im Hauptsacheverfahren zu Lasten des Antragstellers aus.","Betriebs- und Geschäftsgeheimnisse, Drittbetroffenheit, Interessenabwägung, Konkurrierende Rechtsvorschriften, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/VG_Schleswig_Holstein_12_B_85_06.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Oberverwaltungsgericht Schleswig-Holstein,4 LB 23/05,22.02.2007,Urteil,Informationsfreiheitsgesetz (Schleswig-Holstein),"Informationen, die einem Bürgermeister in seiner Funktion als Aufsichtsratsvorsitzendem einer GmbH vorliegen, unterfallen nicht dem Zugangsanspruch des Informationsfreiheitsgesetzes. Dies gilt auch, wenn es sich um eine 100 % städtische Gesellschaft handelt. Der Anspruch besteht nur im Falle der Erledigung öffentlich-rechtlicher  Aufgaben, d.h. wenn die Aufgaben der juristischen Person des Privatrechts durch eine öffentlich-rechtliche Bestimmung auferlegt sind.  Informationen über den - lediglich als öffentliche Aufgabe erfolgenden - Betrieb eines kommunalen Netzes zur Sprach-, Daten-, Fernseh- und Rundfunkübertragung sowie eines kommunalen Mobilfunknetzes müssen von der beklagten Stadt somit nicht herausgegeben werden. Das Urteil der Vorinstanz wird damit bestätigt.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung",http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_4_LB_23_05.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Verwaltungsgerichtshof Hessen,11 A 1999/06,20.03.2007,Urteil,"Richtlinie 2003/4/EG (Umweltinformationsrichtlinie), Umweltinformationsgesetz (Hessen)","Die Gewährung der Einsicht in eine Datenbank zu den Einwendungen im Rahmen eines Planfeststellungsverfahrens zum Ausbau des Flughafens Frankfurt/Main war rechtmäßig. Der Begriff ""Umweltinformationen"" ist weit auszulegen und vorliegend anwendbar, der Ausnahmetatbestand der unabgeschlossenen Vervollständigung von Informationen liegt nicht vor und eine Missbrauchsabsicht der Antragsteller ist nicht zu erkennen. Der Antrag ist zudem hinreichend bestimmt. Auch unter Berücksichtigung der Tatsache, dass die Informationen vom Vorhabenträger teilweise freiwillig zur Verfügung gestellt wurden, ist im Rahmen der Interessenabwägung in nicht zu beanstandender Weise zu Gunsten der Antragsteller entschieden worden. Anspruchsberechtigt waren auch ein Kirchengemeindeverband, Kommunen, eine städtische Gesellschaft sowie eine Bürgerinitiative.","Antragsberechtigung, Begriffsbestimmung, Bestimmtheit des Antrags, Entwürfe oder Vorarbeiten",http://www.lda.brandenburg.de/media_fast/5955/VGH_HE_11_A_1999_06.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Oberverwaltungsgericht Schleswig-Holstein,4 MB 7/07,17.04.2007,Beschluss,Richtlinie 2003/4/EG (Umweltinformationsrichtlinie),"Die Wahrung des Grundsatzes der Gewährung effektiven Rechtsschutzes erfordert, dass ein Informationszugangsbegehren hinter dem Geheimhaltungsinteresse des Betroffenen zurückzustehen hat, wenn der Anspruch auf Herausgabe von Informationen im einstweiligen Rechtsschutz nur verzögert würde, der Rechtsschutz zur Wahrung eigener Geheimnisse hingegen durch eine Herausgabe schon im einstweiligen Rechtsschutzverfahren endgültig vereitelt würde. Die Beschwerde gegen einen Beschluss des Verwaltungsgerichts, mit dem der sofortige Vollzug der Akteneinsicht in Unterlagen eines Landesministeriums zu einem Atomkraftwerk abgelehnt wird, bestätigt das Oberverwaltungsgericht damit.","Interessenabwägung, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_4_MB_7_07.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Oberverwaltungsgericht Schleswig-Holstein,15 P 4/06,19.04.2007,"Beschluss des Fachsenats (""in-camera""-Verfahren)","§ 99 Abs. 2 Verwaltungsgerichtsordnung, Informationsfreiheitsgesetz (Schleswig-Holstein)",Das Zurückhalten einer vor dem Hintergrund einer Auseinandersetzung über Emissionen zur Einsicht beantragte Akte zum Betrieb einer Kaffeerösterei ist zum großen Teil rechtswidrig. Bei den meisten der als geheimhaltungsbedürftig eingestuften Informationen handelt es sich nicht um Betriebs- und Geschäftsgeheimnisse (das Urteil geht auf Einzelheiten zu der Art der Informationen ein). Das Oberverwaltungsgericht stützt sich auf das Informationsfreiheitsgesetz Schleswig-Holstein. Siehe auch den Ergänzungsbeschluss des Oberverwaltungsgerichts vom 9. Mai 2007 unter demselben Aktenzeichen.,"Begriffsbestimmung, Betriebs- und Geschäftsgeheimnisse",http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_15_P_4_06.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Verwaltungsgericht Düsseldorf,26 K 5324/06,20.04.2007,Urteil,Informationsfreiheitsgesetz (Bund),"Das Informationsfreiheitsgesetz wird als Anspruchsgrundlage für den Informationszugang eines Insolvenzverwalters gegenüber einem Träger der Sozialversicherung nicht durch die Vorschriften der Insolvenzverordnung, mit denen lediglich die Informationspflicht des Insolvenzschuldners gegenüber dem Insolvenzverwalter geregelt wird, verdrängt.  Auch steht der Ausnahmetatbestand des Informationsfreiheitsgesetzes zum Schutz der wirtschaftlichen Interessen der Sozialversicherungen dem Zugang nicht entgegen. Auskünfte über die Beitragszahlungen des Insolvenzschuldners vermögen wirtschaftliche Interessen des Versicherungsträgers nicht zu beeinträchtigen. Dem Anspruch steht zudem nicht entgegen, dass der Kläger die Informationen auf dem Wege der Insolvenzanfechtung mit dem Ziel der Rückzahlung von Sozialversicherungsbeträgen nutzen kann.","Antragsberechtigung, Anwendungsbereich/Zuständigkeit, Konkurrierende Rechtsvorschriften, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/VG_Duesseldorf_26_K_5324_06.pdf,28,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=540
Verwaltungsgericht Mainz,3 K 618/06,24.04.2007,Urteil,Umweltinformationsgesetz (Rheinland-Pfalz),"Der Begriff der öffentlichen Sicherheit im gemeinschaftsrechtlichen Sinne deckt sich nicht mit dem begriff der öffentlichen Sicherheit i.S.d. Polizei- und Ordnungsrechts. Während letzterer praktisch den Schutz der gesamten Rechtsordnung umfasst, verlangt das Gemeinschaftsrecht - und damit auch das LUIG, welches eine EG-Richtlinie umsetzt - eine schwere tatsächliche Gefährdung von Grundinteressen der Gesellschaft. Zu den geschützten Rechtsgütern gehören neben staatlichen Einrichtungen auch Leben, Gesundheit und sonstige wichtige Allgemeingüter. Aufgrund der gebotenen engen Auslegung der im LUIG enthaltenen Ausschlussgründe ist insoweit das Vorliegen einer ernsthaften konkreten Gefahr der geschützten Belange erforderlich. Bei der Gefahr besonders großer Schäden sind an die Wahrscheinlichkeit des Schadenseintritts geringere Anforderungen zu stellen. Bei der Auskunftserteilung über Störfallbetriebe besteht aufgrund in Betracht zu ziehender terroristischer Szenarien eine konkrete Gefahr für Leib und Leben von Menschen, die dem Auskunftsbegehren entgegen steht. Eine Interessenabwägung ist nicht vorzunehmen; es liegt auf der Hand, dass die Gefährdung zahlreicher Menschenleben nicht durch ein überwiegendes öffentliches Interesse an der Bekanntgabe  der Informationen überspielt werden kann.","Ablehnungsbegründung, Begriffsbestimmung, Sicherheitsaspekte",http://www.lda.brandenburg.de/media_fast/5955/VG_Mainz_618_06.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Oberverwaltungsgericht Schleswig-Holstein,4 LB 9/05,03.05.2007,Urteil,"Informationsfreiheitsgesetz (Schleswig-Holstein), Umweltinformationsgesetz (Schleswig-Holstein)","Das Oberverwaltungsgericht bestätigt die erstinstanzliche Entscheidung und lehnt die Einsicht in Akten im Zusammenhang mit der Planung eines Flughafenausbaus ab. Auch in dem Fall, dass private Dritte Behörden im Sinne des Informationsfreiheitsgesetzes gleich stehen, ist nicht der Private, sondern allein die Behörde, die sich des Dritten zur Erfüllung ihrer Aufgabe bedient, anspruchsverpflichtet. Öffentlich-rechtlich ist eine Aufgabenstellung, wenn die Aufgabe der juristischen Person des öffentlichen Rechts durch eine öffentlich-rechtliche Bestimmung auferlegt ist. Aufgegebene, nicht verwirklichte Pläne können keine Umweltinformationen enthalten; Analysen und Annahmen zu (wahrscheinlichen) Umweltauswirkungen sind gegenstandslos geworden. Bewahrt eine Stelle bei ihr vorhandene Umweltinformationen im eigenen Interesse auf, so liegt kein ""Bereithalten"" für eine informationspflichtige Stelle vor. Die Einordnung als informationspflichtige Stelle setzt nach der Auffassung des Senats voraus, dass die Stelle im Zusammenhang mit der Umwelt öffentliche Zuständigkeiten hat und öffentliche Aufgaben wahrnimmt und dabei unmittelbar in den Vollzug (auch) des Umweltrechts eingebunden ist.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung",http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_4_LB_9_05.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Minden,7 K 1581/06,03.05.2007,Urteil,Informationsfreiheitsgesetz (Nordrhein-Westfalen),Das Protokoll der nicht öffentlichen Sitzung einer kommunalen Zweckverbandsversammlung ist auf der Grundlage des Informationsfreiheitsgesetzes Nordrhein-Westfalen nur im Hinblick auf das Beratungsgeheimnis geheim zu halten; die im Protokoll enthaltenen Informationen zum Beratungsergebnis sind nicht geschützt und als Kopie herauszugeben.,Beratungsgeheimnis (behördlicher Entscheidungsprozess),http://www.lda.brandenburg.de/media_fast/5955/VG_Minden_7_K_1581_06.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Oberverwaltungsgericht Schleswig-Holstein,15 P 4/06 (Berichtigung),09.05.2007,"Beschluss des Fachsenats (""in-camera""-Verfahren)",§ 99 Abs. 2 Verwaltungsgerichtsordnung,"Der Beschluss vom 19. April 2007 unter demselben Aktenzeichen wird um den Geheimhaltungsbedarf für weitere Informationen ergänzt, die das Oberverwaltungsgericht nunmehr ebenfalls als Betriebs- und Geschäftsgeheimnisse einstuft.","Begriffsbestimmung, Betriebs- und Geschäftsgeheimnisse",http://www.lda.brandenburg.de/media_fast/5955/OVG_SH_15_P_4_06_ber.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Schleswig-Holstein,12 A 233/05,15.05.2007,Beschluss,Informationsfreiheitsgesetz (Schleswig-Holstein),"Mit dem Beschluss des Verwaltungsgerichts wird das Verfahren eingestellt, soweit die Klage zurückgenommen wurde. Inhaltliche Ausführungen zur Informationsfreiheit enthält der Beschluss nicht.",,http://www.lda.brandenburg.de/media_fast/5955/VG_Schleswig_Holstein_12_A_233_05.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Bundesverwaltungsgericht,7 B 1.07,22.05.2007,Beschluss,Informationsfreiheitsgesetz (Nordrhein-Westfalen),Das Bundesverwaltungsgericht weist die Nichtzulassungsbeschwerde zurück. Der Beschluss enthält ausführliche Erläuterungen zu prozessualen Fragen. In der Sache wird der Anspruch auf Zugang zu den Berichten des Rechnungsprüfungsamts über die Prüfung der Gebührenberechnung der Abfallwirtschaftsbetriebe einer Stadt bestätigt.,Prozessuales,http://www.lda.brandenburg.de/media_fast/5955/BVerwG_7_B_1_07.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Berlin,2 A 96.06,31.05.2007,Urteil,Informationsfreiheitsgesetz (Bund),"Das Bundesverkehrsministerium lehnte einen Antrag auf Zugang zu Angaben über Flugdaten amerikanischer Flugzeugemit dem Argument der Gefährdung der guten Zusammenarbeit mit den Vereinigten Staaten von Amerika ab. Es stützte die Ablehnung außerdem auf die Einstufung als ""VS - nur für den Dienstgebrauch"". Das Verwaltungsgericht teilt die Auffassung, nach der die Voraussetzungen des § 3 Nr. 1a und 4 IFG (Bund) vorliegen (nachteilige Auswirkungen auf internationale Beziehungen und spezielle Verschlusssachenregelung). Die Einstufung als Verschlusssache sei zu Recht erfolgt; der Begriff ""nachteilige Auswirkungen"" weit auszulegen.","(Gesetzliche) Geheimhaltungspflichten, Internationale Beziehungen",http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_2_A_93_06.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Greifswald,4 B 391/07,06.06.2007,Beschluss,Informationsfreiheitsgesetz (Mecklenburg-Vorpommern),Das Verwaltungsgericht lehnt einen Antrag auf einstweilige Anordnung zur Verpflichtung der Vorlage von Unterlagen aus einem laufenden Verfahren zur Aufstellung eines Regionalplans ab. Neben der fehlenden Eilbedürftigkeit steht auch der Ausnahmetatbestand des Informationsfreiheitsgesetzes Mecklenburg-Vorpommern zum Schutz des Erfolgs einer bevorstehenden Entscheidung dem Informationszugang entgegen. Auch auf der Grundlage des Landes-Umweltinformationsgesetzes Mecklenburg-Vorpommern ist das behördeninterne Planungsstadium geschützt.,"Entwürfe oder Vorarbeiten, Gefährdung des Erfolgs behördlicher Maßnahmen, Konkurrierende Rechtsvorschriften",http://www.lda.brandenburg.de/media_fast/5955/VG_Greifswald_4_B_391_07.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Berlin,2 A 130.06,07.06.2007,Urteil,Informationsfreiheitsgesetz (Bund),"Gegenüber dem Bundesrat besteht kein Anspruch auf Informationszugang zu Unterlagen, die im Zusammenhang mit der Erteilung der Zustimmung zum Erlass von Rechtsverordnungen der Bundesregierung bzw. eines Bundesministers bei einem Ausschuss des Bundesrates entstanden sind. Zwar spricht viel dafür, dass der Bundesrat in dieser Angelegenheit öffentlich-rechtliche Verwaltungstätigkeit wahrnimmt und somit nicht aus dem Anwendungsbereich des Informationsfreiheitsgesetzes ausgenommen ist. Dennoch steht die Vertraulichkeit der Ausschusssitzungen dem Informationszugang entgegen. Auch aus dem Grundgesetz lässt sich ein Zugangsanspruch nicht herleiten.","Anwendungsbereich/Zuständigkeit, Begriffsbestimmung, Beratungsgeheimnis (behördlicher Entscheidungsprozess)",http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_2_A_130_06.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Köln,13 L 836/07,18.06.2007,Beschluss,Umweltinformationsgesetz (Bund),"Das Verwaltungsgericht lehnt einen Antrag auf Erlass einer einstweiligen Anordnung ab, der sich auf Umweltinformationen aus einem zu Genehmigungszwecken vorgelegten Sicherheitskonzept (Magnetschwebebahn) bezieht. Weder aus der Formulierung des Eilantrags, noch aus dem Text des Antrags auf Akteneinsicht lässt sich entnehmen, um welche Umweltinformationen es den Antragsteller geht.","Bestimmtheit des Antrags, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/VG_Koeln_13_L_836_07.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht München,17 K 06.3145,21.06.2007,Urteil,Informationsfreiheitsgesetz (Bund),"Das Informationsfreiheitsgesetz verpflichtet einen Träger der Sozialversicherung nicht, Namen und Adressen sämtlicher bei ihr versicherter natürlicher und juristischer Personen herauszugeben. Im Hinblick auf die Daten natürlicher Personen steht der Sozialdatenschutz der Offenlegung entgegen. Das Erfordernis der Anhörung von Gesellschaftsunternehmen und der damit verbundene hohe Verwaltungsaufwand rechtfertigen zudem den durch die Beklagte erfolgten Verweis auf allgemein zugängliche Quellen. Das Urteil enthält darüber hinaus Ausführungen zu der Frage, inwieweit wirtschaftliche Interessen der Informationserlangung mit der Zielsetzung des Informationsfreiheitsgesetzes vereinbar sind. Das Informationsweiterverwendungsgesetz scheidet als Anspruchsgrundlage aus, da es selbst keinen Anspruch auf Informationszugang beinhaltet.","(Gesetzliche) Geheimhaltungspflichten, Allgemein zugängliche Quelle, Betriebs- und Geschäftsgeheimnisse, Drittbetroffenheit, Personenbezogene Daten",http://www.lda.brandenburg.de/media_fast/5955/VG_Muenchen_M_17_K_06_3145.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Berlin,2 A 136.06,27.06.2007,Urteil,Informationsfreiheitsgesetz (Bund),"Eine als juristische Person organisierte Bodenverwertungsgesellschaft ist keine Behörde im Sinne des Informationsfreiheitsgesetzes und nimmt auch keine hoheitlichen Aufgaben wahr, ist also auch nicht Beliehene. Die Behörde (alleinige Gesellschafterin), die sich der Verwertungsgesellschaft zur Erfüllung ihrer öffentlich-rechtlichen Aufgaben bedient ist somit die zuständige Antragsgegnerin für das Informationszugangsbegehren. Das Informationsfreiheitsgesetz begründet nicht selbst ein Zugriffsrecht der Behörde gegen den Beauftragten Dritten, sondern setzt das Bestehen eines solchen Rechts voraus. Dies ist auf der Grundlage des vorliegenden Geschäftsbesorgungsvertrages der Fall. Das Verwaltungsgericht verpflichtet diese Behörde daher, Zugang zu den Informationen über die Kaufpreisermittlung zu einer Liegenschaft zu gewähren. Der Herausgabe dieser Information stehen die Ausnahmetatbestände zum Schutz fiskalischer Interessen des Bundes im Wirtschaftsverkehr, laufender Gerichtsverfahren oder von Betriebs- und Geschäftsgeheimnissen nicht entgegen.","Anwendungsbereich/Zuständigkeit, Bearbeitungsfrist, Betriebs- und Geschäftsgeheimnisse, Fiskalische Interessen, Schutz besonderer Verfahren",http://www.lda.brandenburg.de/media_fast/5955/VG_Berlin_2_A_136_06.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Oberverwaltungsgericht Nordrhein-Westfalen,8 B 922/07,27.06.2007,Beschluss,Umweltinformationsgesetz (Bund),"Der Eilantrag ist nicht - wie vom Verwaltungsgericht angenommen - schon deshalb unzulässig, weil er nicht hinreichend bestimmt ist. Bei Streitigkeiten um die Einsicht in bislang unbekannte Unterlagen kann ein gesetzlicher Informationszugangsanspruch nicht vollständig leerlaufen, weil dem Antragsteller die genaue Bezeichnung einzelner Unterlagen abverlangt wird. Es genügt, wenn er sein Zugangsbegehren im Rahmen des ihm Möglichen umschreibt. Das Oberverwaltungsgericht stellt dennoch fest, dass die Voraussetzungen für eine einstweiligen Anordnung wegen der ansonsten eintretenden Vorwegnahme der Hauptsache fehlen.","Begriffsbestimmung, Beratungspflicht, Prozessuales",http://www.lda.brandenburg.de/media_fast/5955/OVG_NW_8_B_922_07.pdf,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
Verwaltungsgericht Bremen,2 V 1731/07,05.07.2007,Beschluss,Informationsfreiheitsgesetz (Bremen),"Dem Eilantrag einer Wählervereinigung auf Einsicht der Niederschriften zur Bürgerschaftswahl beim Wahlbereichsleiter wird stattgegeben. Sie scheiterte nur knapp an der 5-Prozent-Hürde und erwog, gegen das Ergebnis Einspruch zu erheben. Da die Antragstellerin hier nicht bloß ein allgemeines Informationsinteresse, sondern plausible Gründe für eine Wahlanfechtung vorweisen kann, tritt das Wahlgeheimnis im Rahmen einer Interessenabwägung zurück.","(Gesetzliche) Geheimhaltungspflichten, Interessenabwägung, Konkurrierende Rechtsvorschriften",http://www.lda.brandenburg.de,27,http://www.lda.brandenburg.de/sixcms/detail.php?template=rechtsprechungsdb_erg_d&sort=datum&order=desc&gerichte_title=&title=&sm[title]=tablescan&sm[vt_db]=fulltext_all&datum_von=&datum_bis=&art2_title=&vt_db=&max=&skip=520
